model,cls,pr_auc,w_spearman,PRAUC_Retroviral,PRAUC_Retron,PRAUC_LTR_Retrotransposon,PRAUC_Group_II_Intron
lgbm_clf_allfeat,0.3034889829381908,0.3427274445109105,0.2723122716006175,0.7425002693385045,0.549047619047619,0.225,1.0
lgbm_clf_nofoldseek,0.2724843136201286,0.265666403318392,0.27966138306040833,0.6476384998443823,0.38126984126984126,0.18333333333333335,0.3666666666666667
lgbm_reg_allfeat,0.24008872540139622,0.4634765263297164,0.16200504822281306,0.6037723306105658,0.37166666666666665,0.39285714285714285,1.0
ensemble_clf+reg_nofoldseek,0.21793956174686044,0.26529934035325414,0.1849273488670631,0.5381988654047477,0.429047619047619,0.17142857142857143,1.0
lgbm_reg_nofoldseek,0.088464752156145,0.2957875553471754,0.052010006016747136,0.5245999643058467,0.5393939393939393,0.19444444444444442,1.0
esm_orth_logreg,0.0,0.38312392631649184,0.0,0.6823302310434664,0.49090909090909085,0.19444444444444442,0.75
ensemble_triple,0.0,0.27687547622378106,0.0,0.546326154782037,0.45793650793650786,0.17142857142857143,1.0
