model,cls,pr_auc,w_spearman,PRAUC_Retroviral,PRAUC_Retron,PRAUC_LTR_Retrotransposon,PRAUC_Group_II_Intron
rf_multiseed_handonly,0.49303759771568106,0.5495828399393783,0.4470424834673326,0.7475732600732601,0.45186147186147185,0.22619047619047616,1.0
rf_multiseed_concat,0.4823242323459611,0.38042909909733047,0.6587712655621246,0.820847847686083,0.57,0.22619047619047616,0.5
log_pe_handonly,0.4785493605347335,0.5771614495916169,0.40871716163931077,0.7903494109376463,0.6385281385281385,0.20833333333333331,1.0
isotonic_concat,0.47380036309508056,0.36218973571130664,0.6848361359200867,0.7942895339954165,0.5533333333333332,0.22619047619047616,0.41666666666666663
extra_trees_handonly,0.438234000385057,0.37608162375234394,0.5249964951035344,0.7379030691530691,0.5722222222222222,0.2111111111111111,1.0
gp_handonly,0.0,0.3424231446697711,0.0,0.7130816215375039,0.4442857142857143,1.0,0.8333333333333333
