model,cls,pr_auc,w_spearman,PRAUC_Retroviral,PRAUC_Retron,PRAUC_LTR_Retrotransposon,PRAUC_Group_II_Intron
isotonic_stack_handonly,0.5441532483576017,0.6003468087362516,0.49757894789524904,0.8269383394383395,0.5851948051948053,0.26785714285714285,1.0
rf_simple_handonly,0.5206243333303809,0.5155494593545797,0.525800110844215,0.8364823833573835,0.7051948051948052,0.20833333333333331,1.0
isotonic_stack_combined,0.45251826810175505,0.45904492512192974,0.4461746001362947,0.7078352815485168,0.6051948051948053,0.225,1.0
rf_simple_combined,0.4300024648766154,0.36685666308949777,0.5194060848151097,0.7868792087542087,0.6242424242424243,0.1625,1.0
rf_simple_structonly,0.25885236178190923,0.2578577291025337,0.259854697351896,0.5969825313575313,0.36257575757575755,0.1534090909090909,0.5
